status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
A	000000	100644	0000000000000000000000000000000000000000	8a4903ee4cabfbcb3c7bd7010deccd34b4bae2e9	migrations/versioned/000090_account_erasure_identity.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	fd0c45dad52926cc77aac138c8afad592b0baa58	migrations/versioned/000090_account_erasure_identity.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	95cf04b98915c3f87295efe9e140aae6d9582043	migrations/versioned/000091_paddle_renewal_event_at.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	19003aa73548cf383ca4798dfacd13c5b69fd6d2	migrations/versioned/000091_paddle_renewal_event_at.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	47acd68cb327b4c7e55e5eceef298c41c1596920	migrations/versioned/000092_storage_source_usage.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	84e7b0470114b3f79536366c660f0816396e6d60	migrations/versioned/000092_storage_source_usage.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	1d30a64af8698c04ae09cf52711c30c30b432edc	migrations/versioned/000093_complimentary_entitlements.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	8d2eaa73dcb00ae522e6e8b5da6bbfbb9647cf25	migrations/versioned/000093_complimentary_entitlements.up.sql	no	preserve-local-addition
M	100644	100644	b42b0e14bbc9f55062fc3ed4408ebabee9dc6ea7	555f6537685cab9369211ed3bb1cbc6153fe9172	skills/preloaded/openmaic-classroom/SKILL.md	no	preserve-local-modification
M	100644	100644	852befff446492c19d034b9871ad78c49fefe143	fc674915e109355dcd6181b0af6a3bb9b19edb25	skills/preloaded/openmaic-classroom/references/requirement-builder.md	no	preserve-local-modification
M	100644	100644	a71a81dd02610644eb1bccd7efcccc14ecb8b950	7e497821e0d92f659c35a759acce18517140fe5b	skills/preloaded/openmaic-classroom/scripts/concept-to-requirement.py	no	preserve-local-modification
M	100644	100644	f37290a7bf5443dd3961ea411ab11e71e46cec1a	a69caa99e2d2a5dfdfc0df5ea25e84b9db9dc485	skills/preloaded/openmaic-classroom/scripts/rag-to-requirement.py	no	preserve-local-modification
M	100644	100644	ff7a7c67d11b9369eef6290a43d5f1988f0209b7	c4ec1bf39a5beeba7d4276dc94e6f1c3b94c8c5e	website-docs/01-getting-started/01-introduction.md	yes:M	three-way-preserve-musuw
M	100644	100644	019522ebd496558abd9351ea0e4ef8fa3bc171cb	459a4247375036cbceb8da6c0d72949f6d8cde96	website-docs/01-getting-started/04-configuration.md	yes:M	three-way-preserve-musuw
M	100644	100644	990a7aef37216213dcaaf912e18476cd697064d1	775da328d6106f0e4202ce8f32e389ae3b9ddf2a	website-docs/02-architecture/03-document-pipeline.md	yes:M	three-way-preserve-musuw
M	100644	100644	7bde66a19036b298a9638a6f46c16803c69219c6	8f9bbfe19009042351d72054cef7f3816311e482	website-docs/03-features/01-tenant-auth.md	no	preserve-local-modification
